experiencia_anos,ha_trabajado_en_sector,nivel_educativo,disponibilidad_inmediata,vive_cerca,acepta_turnos,documentos_completos,referido_interno,posibilidad_contratacion
11,1,4,0,1,0,0,1,Alta
5,0,3,0,1,1,1,1,Media
3,0,3,0,0,1,0,0,Baja
10,1,1,1,1,0,0,1,Media
16,0,1,1,1,0,1,0,Media
5,0,4,1,0,1,1,0,Media
4,1,2,1,1,1,0,1,Media
19,1,3,0,0,0,0,1,Alta
1,0,3,1,1,0,0,0,Baja
5,1,4,0,1,1,1,0,Alta
10,0,1,1,0,0,0,1,Media
15,0,2,0,0,1,0,1,Media
15,0,1,0,1,1,0,0,Media
0,1,1,1,1,1,1,1,Media
8,1,1,0,1,1,1,1,Media
5,1,1,0,0,0,0,1,Baja
15,1,3,1,1,0,0,0,Media
2,1,3,0,0,0,1,0,Media
19,0,1,1,0,0,1,0,Media
3,0,2,1,1,0,1,1,Media
18,0,4,1,0,0,1,1,Alta
2,0,2,0,1,0,1,0,Baja
18,1,2,0,1,1,1,0,Alta
19,0,2,0,1,0,1,0,Media
6,1,1,1,1,0,1,1,Media
19,0,3,0,1,1,1,0,Alta
8,1,2,1,0,0,0,0,Media
0,1,1,1,0,0,0,1,Baja
7,0,2,0,1,1,0,1,Media
6,0,2,1,1,0,1,1,Media
17,0,1,0,0,0,0,0,Baja
7,0,3,0,0,0,1,1,Media
0,1,3,0,0,1,1,1,Media
10,0,4,0,0,0,0,0,Media
17,0,1,0,1,0,1,1,Media
9,1,4,1,1,1,0,0,Alta
2,0,4,1,0,0,0,0,Baja
6,0,4,1,1,1,0,1,Alta
15,0,3,0,0,1,1,1,Alta
15,0,1,0,1,0,0,1,Media
19,0,4,0,0,1,1,1,Alta
16,1,1,1,1,1,0,1,Alta
1,0,1,0,0,0,0,1,Baja
0,0,3,1,0,1,0,0,Baja
15,0,4,1,1,1,1,0,Alta
11,0,4,0,0,0,1,1,Media
4,0,1,0,1,0,1,0,Baja
4,1,2,1,1,0,0,1,Media
8,0,3,0,0,1,0,0,Baja
8,1,3,1,1,0,1,0,Media
2,1,3,0,1,1,1,0,Media
18,0,3,0,1,1,1,1,Alta
15,0,4,1,1,1,1,0,Alta
15,0,4,0,1,1,1,1,Alta
2,0,2,1,0,1,1,0,Baja
19,1,3,0,1,1,0,0,Alta
0,0,3,1,1,1,1,0,Media
19,0,1,1,1,0,0,0,Media
10,0,4,0,1,0,0,0,Media
16,0,3,1,1,1,1,1,Alta
7,0,2,0,0,1,1,1,Media
3,0,2,0,1,0,0,0,Baja
5,1,4,0,0,1,1,0,Media
7,1,2,1,0,0,1,0,Media
19,0,2,1,0,0,0,0,Media
2,0,4,0,0,0,0,1,Media
15,0,3,0,1,1,0,0,Media
2,1,3,1,0,1,1,1,Alta
17,0,2,0,0,0,0,0,Baja
13,1,2,0,1,0,1,1,Alta
17,0,3,1,1,0,0,0,Media
1,0,4,0,1,0,0,0,Baja
2,0,2,1,0,0,0,1,Baja
15,0,1,0,1,1,1,0,Media
8,1,4,1,1,0,1,0,Alta
3,1,2,0,0,1,0,0,Baja
0,0,2,0,1,0,0,1,Baja
3,0,1,1,1,1,0,0,Baja
0,1,1,0,1,1,1,0,Media
13,1,3,1,1,1,0,1,Alta
20,1,4,0,0,1,1,1,Alta
15,1,4,1,1,1,0,1,Alta
19,0,3,1,1,1,0,0,Media
7,1,4,1,0,0,0,0,Media
6,0,4,1,1,1,0,0,Media
2,1,4,0,0,0,0,1,Media
16,1,4,0,1,1,0,0,Alta
0,1,4,1,0,1,1,0,Media
15,1,1,1,0,0,0,1,Media
11,1,4,1,0,1,1,1,Alta
18,0,1,0,0,0,0,1,Media
13,0,4,0,1,0,0,1,Media
5,1,3,0,0,0,1,1,Media
5,1,2,0,1,0,0,0,Baja
12,0,1,1,0,1,1,1,Media
18,1,4,1,0,1,1,0,Alta
7,1,3,1,0,0,0,0,Media
1,0,2,0,1,1,1,1,Media
20,1,1,0,0,1,1,1,Alta
0,1,2,0,1,0,0,1,Media
14,0,3,1,1,1,1,0,Alta
0,0,1,1,1,0,0,1,Baja
4,0,2,0,1,0,0,1,Baja
15,1,4,1,1,1,0,1,Alta
18,0,1,0,1,1,0,1,Media
3,0,2,0,1,1,1,1,Media
2,0,3,1,1,0,0,0,Baja
16,0,3,0,1,0,0,0,Media
16,0,1,1,0,1,1,0,Media
11,0,2,0,0,1,0,1,Media
13,1,1,1,0,1,0,1,Media
20,1,1,1,0,1,1,1,Alta
5,0,2,1,0,0,1,0,Baja
2,0,2,0,1,1,1,1,Media
8,0,4,0,1,0,1,1,Alta
4,1,2,1,1,0,1,1,Media
16,1,3,1,1,1,1,0,Alta
13,1,1,0,1,1,1,1,Alta
20,1,1,0,1,1,0,0,Media
2,1,3,0,1,0,1,1,Media
0,1,2,1,0,1,1,0,Media
19,1,3,0,0,1,1,0,Alta
20,1,3,0,0,0,0,0,Media
0,1,4,1,0,1,0,1,Media
2,0,3,0,1,0,1,1,Media
17,0,1,0,1,1,1,0,Media
9,0,3,0,1,0,1,0,Media
2,0,1,1,0,1,0,1,Baja
7,1,1,1,1,1,0,1,Media
13,1,1,1,1,0,1,0,Media
17,0,2,1,1,0,0,1,Media
14,1,4,1,0,1,1,1,Alta
1,0,1,1,1,0,0,1,Baja
9,1,1,1,0,0,0,1,Media
1,0,2,0,0,0,1,0,Baja
16,1,1,0,0,0,1,1,Media
7,1,3,1,0,1,1,1,Alta
0,0,3,0,1,1,1,0,Media
8,1,4,0,0,0,0,0,Media
10,0,1,1,0,0,0,1,Media
15,0,2,0,1,0,0,1,Media
6,0,3,0,1,0,1,1,Media
9,0,2,0,0,1,0,1,Media
2,1,2,0,1,1,1,0,Media
17,1,3,0,0,0,0,0,Media
12,1,2,1,0,0,1,0,Media
6,0,3,1,0,0,1,1,Media
3,1,2,1,0,1,0,1,Media
12,0,3,0,1,0,1,1,Media
19,1,1,1,0,1,1,1,Alta
0,1,4,0,1,0,0,0,Media
7,1,3,0,1,1,1,0,Media
13,0,3,0,1,0,1,1,Alta
15,1,4,0,1,1,1,0,Alta
13,1,3,1,0,0,0,1,Alta
11,0,3,1,1,0,0,1,Media
18,1,2,0,0,0,1,0,Media
14,0,4,1,1,1,0,1,Alta
1,1,1,0,1,0,1,1,Media
1,0,3,1,0,1,1,0,Media
18,0,4,1,0,1,1,1,Alta
16,1,2,0,0,0,1,1,Alta
19,0,1,1,1,0,1,0,Media
9,0,4,0,1,0,0,1,Media
5,0,1,1,0,1,1,0,Baja
14,0,1,0,0,0,0,1,Baja
10,0,1,0,0,1,0,0,Baja
4,0,3,1,0,1,1,0,Media
0,1,3,1,1,0,1,0,Media
7,0,2,0,0,0,0,1,Baja
20,0,2,1,0,0,0,0,Media
11,1,4,1,0,0,0,0,Media
11,1,2,0,0,0,1,0,Media
4,1,1,0,1,0,0,0,Baja
6,1,1,1,0,1,1,0,Media
3,1,3,0,1,1,1,1,Alta
5,1,1,0,0,1,1,1,Media
12,1,4,0,0,0,0,1,Media
19,0,1,1,1,1,1,1,Alta
14,0,1,1,0,1,1,1,Media
2,1,4,0,1,1,1,1,Alta
7,0,2,1,1,1,1,1,Media
19,0,2,0,0,1,1,0,Media
15,0,4,1,1,0,0,1,Alta
12,1,3,0,1,0,1,0,Media
17,1,1,0,1,1,1,0,Media
9,0,4,1,1,1,0,1,Alta
18,1,1,0,1,1,1,0,Media
16,0,3,1,1,0,0,0,Media
18,0,1,1,1,0,1,0,Media
4,0,4,0,1,1,0,0,Media
20,0,1,0,0,0,0,1,Media
8,1,2,1,0,0,1,1,Media
11,1,3,0,1,1,1,1,Alta
20,1,3,0,0,0,1,1,Alta
0,0,3,0,1,0,0,1,Media
0,1,4,0,1,1,0,1,Media
14,0,3,0,0,0,0,1,Media
1,1,2,1,1,0,1,1,Media
15,0,4,1,1,1,0,1,Alta
7,0,2,0,1,0,0,1,Media
12,0,1,0,1,0,1,0,Baja
20,1,1,0,0,1,0,1,Media
0,1,1,1,1,1,0,0,Baja
15,1,1,0,1,1,1,0,Media
6,1,2,1,1,0,0,0,Media
4,0,4,1,0,1,1,0,Media
2,1,4,1,1,0,1,1,Alta
11,1,3,0,0,1,1,0,Media
15,0,2,1,0,0,1,1,Media
18,0,1,0,1,1,1,1,Alta
4,0,2,1,1,1,0,0,Baja
13,1,3,0,0,1,0,1,Alta
4,0,3,1,1,1,1,0,Media
14,0,2,0,0,0,1,0,Media
16,0,2,1,0,1,0,1,Media
13,1,2,0,1,1,1,1,Alta
19,0,4,0,1,0,1,0,Alta
4,1,1,0,0,1,1,1,Media
11,1,2,0,0,0,0,1,Media
15,0,2,1,0,1,0,1,Media
15,0,2,1,0,1,1,0,Media
20,1,3,0,1,1,1,0,Alta
6,0,3,1,1,0,0,1,Media
3,0,4,0,1,1,0,1,Media
0,1,1,0,1,1,1,1,Media
4,1,4,1,1,1,1,1,Alta
9,0,1,0,0,0,0,1,Baja
4,1,3,0,1,0,0,0,Media
3,0,3,1,1,1,0,1,Media
1,0,3,0,1,0,1,0,Baja
19,0,4,0,1,1,0,1,Alta
9,1,2,0,1,1,1,0,Media
18,0,2,0,0,1,0,1,Media
0,0,3,1,0,1,0,0,Baja
4,0,2,1,0,1,0,1,Media
12,1,2,1,1,1,0,0,Media
3,1,4,0,0,1,1,0,Media
15,1,1,0,0,0,1,0,Media
15,1,3,1,1,0,0,0,Media
1,1,3,0,1,0,1,0,Media
16,0,4,0,1,0,0,0,Media
19,1,4,0,0,0,0,1,Alta
11,1,2,0,0,0,0,0,Baja
17,1,3,1,1,0,0,1,Alta
2,0,1,1,1,1,1,1,Media
0,1,4,1,0,1,0,1,Media
0,1,1,0,0,1,0,1,Baja
18,0,1,1,1,1,1,1,Alta
10,1,3,1,1,0,0,0,Media
4,0,3,0,0,0,0,0,Baja
11,0,4,0,1,1,0,0,Media
2,0,3,1,0,1,1,1,Media
0,0,3,1,0,0,0,0,Baja
0,0,3,1,0,1,1,0,Media
7,1,1,1,0,1,0,0,Baja
9,0,4,0,1,1,0,0,Media
10,0,2,1,1,1,1,0,Media
11,1,1,1,0,0,0,1,Media
12,0,3,0,0,1,0,0,Media
11,1,1,1,0,1,1,1,Alta
13,1,3,0,0,0,1,1,Alta
1,1,3,0,0,0,1,1,Media
18,0,1,0,1,1,1,1,Alta
17,0,4,1,1,0,1,1,Alta
2,0,3,1,1,1,0,0,Media
16,1,4,0,1,1,1,0,Alta
7,0,2,1,0,0,0,0,Baja
9,0,3,1,0,1,0,1,Media
1,0,4,0,0,1,0,0,Baja
18,1,4,0,0,1,1,0,Alta
8,1,2,1,0,1,1,1,Alta
6,0,4,0,1,0,0,1,Media
3,0,4,1,0,0,1,1,Media
20,0,2,1,1,1,1,1,Alta
17,0,3,1,1,0,1,0,Media
12,1,4,1,1,1,1,1,Alta
10,1,4,0,1,1,0,1,Alta
3,1,4,0,0,1,0,0,Media
20,1,1,0,1,1,1,0,Alta
3,0,2,0,1,1,0,1,Media
9,0,1,1,1,0,1,0,Media
4,0,2,1,0,1,1,1,Media
8,1,3,0,0,0,0,1,Media
2,0,3,1,0,0,0,0,Baja
16,1,4,1,1,1,0,0,Alta
2,1,2,1,1,1,1,1,Alta
15,0,3,0,0,1,0,1,Media
3,0,2,0,1,1,1,1,Media
17,0,3,0,0,1,0,0,Media
16,1,1,1,0,0,0,1,Media
6,0,3,0,1,1,1,1,Media
4,1,1,0,1,1,1,1,Media
11,0,3,0,1,0,1,1,Media
16,1,4,0,1,0,1,1,Alta
12,1,1,0,0,1,1,0,Media
2,0,3,0,0,0,1,1,Media
8,1,4,1,0,1,1,1,Alta
16,1,1,1,0,0,1,1,Alta
16,0,4,0,0,0,0,1,Media
19,1,2,0,1,1,1,0,Alta
15,0,2,1,0,0,1,0,Media
12,1,1,1,0,0,0,0,Baja
18,0,3,0,0,0,1,1,Alta
16,0,1,0,1,0,0,1,Media
3,1,4,0,1,0,0,0,Media
11,1,3,0,1,0,1,0,Media
8,1,2,1,1,1,0,0,Media
18,1,3,0,0,1,1,1,Alta
11,1,2,0,0,0,0,1,Media
8,0,3,0,1,1,0,0,Media
1,0,2,1,0,0,1,0,Baja
3,0,1,1,0,1,1,0,Baja
8,0,1,0,1,1,1,0,Media
9,1,1,0,0,0,1,0,Baja
8,1,1,0,0,0,1,1,Media
18,1,2,0,0,1,0,0,Media
4,1,1,1,1,0,0,1,Media
5,1,4,0,1,0,1,0,Media
20,0,1,1,0,1,0,1,Media
1,0,1,1,1,0,0,0,Baja
3,1,4,0,1,1,0,0,Media
17,1,3,1,1,0,0,1,Alta
1,1,2,1,1,1,1,0,Media
16,0,1,0,1,1,0,1,Media
6,1,3,1,0,1,1,0,Media
11,1,1,1,1,0,1,0,Media
20,1,2,1,0,0,0,0,Media
2,0,4,0,0,1,0,0,Baja
0,1,4,0,1,1,1,1,Alta
12,1,3,1,1,0,0,1,Alta
8,0,1,0,1,1,0,0,Baja
8,1,3,0,0,1,0,0,Media
20,1,4,0,0,0,0,0,Media
7,1,1,1,0,1,0,1,Media
15,0,4,0,1,1,1,0,Alta
15,0,3,0,1,0,1,1,Alta
5,0,1,1,1,0,1,1,Media
14,0,2,0,1,1,0,0,Media
4,0,2,0,1,0,1,1,Media
12,0,3,1,0,0,0,1,Media
17,1,2,0,0,0,0,1,Media
9,0,2,1,0,1,1,1,Media
0,0,1,1,1,1,0,0,Baja
15,0,2,1,0,1,1,1,Alta
9,0,4,0,0,1,0,1,Media
3,0,1,0,0,1,0,1,Baja
19,0,3,1,1,0,1,1,Alta
18,0,2,0,1,0,0,0,Media
5,1,4,1,1,1,0,1,Alta
12,1,2,0,1,0,0,0,Media
0,0,2,0,1,0,1,0,Baja
1,1,4,1,0,0,1,1,Alta
12,0,1,1,0,0,0,1,Media
11,1,4,1,1,0,0,0,Media
18,0,3,1,0,1,0,1,Alta
11,1,3,1,1,0,1,1,Alta
17,1,2,1,0,1,1,1,Alta
9,0,3,1,1,1,0,0,Media
1,1,4,1,1,0,1,0,Media
12,1,4,0,0,0,0,0,Media
13,0,1,1,0,0,1,0,Media
12,1,4,1,1,0,1,0,Alta
3,0,3,1,1,1,1,0,Media
8,1,4,1,0,1,1,0,Alta
9,0,4,1,0,0,0,0,Media
18,0,4,0,1,1,0,1,Alta
8,1,2,1,0,0,1,0,Media
11,0,2,0,1,1,0,0,Media
0,0,2,0,1,0,1,0,Baja
11,1,2,1,1,0,1,0,Media
3,1,3,1,0,1,1,1,Alta
18,1,3,1,0,0,0,1,Alta
16,1,4,0,0,1,1,0,Alta
6,0,3,1,0,1,1,1,Media
16,1,2,1,0,1,0,0,Media
2,1,3,1,1,0,0,1,Media
10,1,4,0,1,1,0,0,Media
19,0,4,1,0,1,1,1,Alta
18,0,2,1,0,1,0,0,Media
8,1,1,0,0,0,1,1,Media
3,0,4,1,1,1,0,0,Media
13,1,3,1,0,1,0,0,Media
9,1,1,0,0,0,0,0,Baja
12,1,4,1,1,0,0,1,Alta
4,0,1,0,0,1,0,1,Baja
1,0,4,1,1,1,1,1,Alta
13,1,2,1,0,1,1,0,Media
11,1,2,0,0,1,0,0,Media
11,0,2,1,1,0,1,0,Media
12,0,2,0,0,1,1,0,Media
4,0,2,0,1,0,0,0,Baja
9,1,1,1,0,0,1,0,Media
5,0,2,1,1,0,1,0,Media
10,0,3,0,1,0,0,1,Media
5,1,3,1,1,1,0,0,Media
0,0,4,1,0,0,0,0,Baja
3,0,3,1,0,1,0,0,Baja
7,0,2,1,1,0,0,1,Media
13,1,4,1,1,0,0,1,Alta
9,0,2,0,1,1,1,1,Media
5,0,4,1,1,1,1,1,Alta
13,1,3,1,0,1,0,0,Media
7,1,1,1,1,0,0,1,Media
16,0,1,0,0,1,1,0,Media
14,0,4,0,0,0,1,0,Media
2,1,4,1,0,0,0,0,Media
3,0,2,1,0,1,0,1,Media
20,0,3,1,0,1,1,0,Alta
0,1,4,1,1,0,1,0,Media
8,1,3,0,1,0,1,0,Media
0,0,4,0,1,0,1,0,Media
14,0,2,1,0,0,1,1,Media
9,0,2,1,1,1,0,1,Media
0,1,4,0,1,0,0,0,Media
4,1,4,0,0,1,1,1,Alta
17,1,2,1,0,1,0,0,Media
13,0,4,0,1,0,0,1,Media
16,0,4,0,1,0,0,1,Alta
18,1,1,0,1,1,1,1,Alta
10,0,2,1,1,1,1,1,Alta
10,0,3,0,0,0,0,0,Baja
12,1,3,1,0,0,0,0,Media
1,0,2,0,1,1,1,0,Baja
20,0,3,0,1,1,0,1,Alta
18,1,3,1,0,1,1,1,Alta
6,1,3,0,1,0,1,0,Media
18,0,3,0,1,0,0,1,Media
13,1,1,0,1,1,0,0,Media
2,0,4,1,1,0,0,1,Media
7,0,4,0,1,1,1,0,Media
2,1,2,1,1,0,0,0,Baja
3,0,1,1,0,1,1,1,Media
15,1,2,1,1,1,1,1,Alta
10,1,4,0,1,0,0,0,Media
2,0,4,1,0,1,0,0,Media
6,1,3,1,1,1,0,0,Media
1,1,1,1,0,1,1,1,Media
11,1,2,0,1,0,0,1,Media
6,1,4,1,0,1,0,0,Media
15,1,3,0,0,0,1,0,Media
3,0,2,1,1,1,0,1,Media
11,1,3,0,0,0,1,1,Alta
6,0,2,0,1,0,0,0,Baja
7,0,2,1,1,1,1,1,Media
20,0,4,0,1,1,1,0,Alta
20,0,1,0,1,0,0,0,Media
9,0,2,0,0,1,1,0,Media
2,1,4,1,1,0,1,1,Alta
7,1,1,0,1,1,0,0,Baja
5,1,2,1,0,1,1,0,Media
1,1,3,0,0,1,1,0,Media
16,1,2,0,1,1,1,1,Alta
2,0,3,0,0,0,1,0,Baja
7,0,2,1,1,1,0,1,Media
0,1,1,1,0,0,0,1,Baja
6,1,4,1,1,0,0,1,Alta
18,1,3,1,0,1,1,1,Alta
8,0,2,1,0,1,0,1,Media
4,1,4,0,1,1,1,0,Media
18,1,1,0,1,1,1,1,Alta
13,0,2,1,0,1,1,1,Alta
15,0,3,1,0,1,1,1,Alta
0,0,3,0,1,0,1,1,Media
1,0,2,1,1,1,1,0,Media
16,0,2,0,0,0,1,0,Media
11,1,3,1,1,0,0,1,Alta
3,1,2,0,0,1,1,0,Media
19,1,2,0,0,0,0,0,Media
1,1,1,0,1,1,1,1,Media
10,0,3,1,1,0,1,0,Media
14,1,4,0,0,1,0,1,Alta
5,1,4,0,1,0,1,0,Media
10,0,1,0,1,0,1,0,Baja
16,1,1,1,1,1,0,1,Alta
16,0,3,1,0,0,0,1,Media
0,1,2,0,1,0,0,0,Baja
7,1,3,1,1,0,1,1,Alta
4,0,1,1,1,1,1,1,Media
15,1,3,0,1,1,0,0,Media
16,0,4,1,1,0,1,0,Alta
9,1,2,1,1,1,0,0,Media
14,0,2,1,0,1,0,0,Media
18,1,2,1,1,1,0,0,Alta
0,0,3,1,0,1,1,1,Media
9,1,2,1,0,0,1,0,Media
14,1,4,0,1,0,0,0,Media
1,1,3,0,0,1,1,0,Media
12,0,2,0,1,0,1,0,Media
7,0,4,0,0,0,1,1,Media
5,1,2,0,0,1,0,0,Baja
18,1,4,0,0,0,0,1,Alta
2,0,1,1,1,1,1,1,Media
19,0,4,1,1,1,0,0,Alta
16,1,4,0,0,1,0,1,Alta
2,0,1,0,0,0,1,0,Baja
18,1,3,1,0,1,1,0,Alta
5,1,4,0,0,1,1,1,Alta
1,0,1,1,1,0,1,1,Media
14,1,3,0,0,0,1,0,Media
5,0,3,0,0,1,1,1,Media
6,1,1,1,0,0,1,0,Media
5,1,2,0,0,1,0,1,Media
4,0,2,0,1,0,0,1,Baja
3,1,2,0,1,0,1,1,Media
1,0,1,0,0,1,0,1,Baja
4,1,3,1,0,0,1,0,Media
10,1,3,1,0,1,0,1,Alta
13,1,3,1,1,0,1,1,Alta
12,1,1,1,0,1,0,1,Media
8,1,1,1,1,0,1,1,Media
14,0,2,0,1,0,1,1,Media
14,0,3,1,1,0,0,0,Media
19,0,4,1,1,0,1,0,Alta
13,0,3,0,1,0,1,1,Alta
15,0,3,0,0,0,0,0,Media
10,0,3,0,1,0,1,0,Media
11,0,4,0,0,0,1,0,Media
6,0,1,1,0,1,1,0,Baja
7,1,1,1,1,0,1,1,Media
6,1,2,0,1,1,1,1,Alta
1,1,2,1,0,1,1,1,Media
8,0,1,1,0,0,0,0,Baja
